policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
4008,LV,Passenger car,Regular,66,2000,Bruna,2010,2,VOLKSWAGEN,GOLF PLUS,Diesel,1,0,142.29,42.69,397.5,14230,1,2012
4009,LV,Passenger car,Regular,66,2000,Bruna,2013,1,VOLKSWAGEN,GOLF PLUS,Diesel,1,0,140,40,454,19170,1,2014
4010,LV,Passenger car,Regular,70,1850,Gaiši peleka,2008,4,RENAULT,KANGOO,Benzine,0,1,142.29,71.14,7.7,5500,0.010958904,2012
4011,LV,Passenger car,Regular,70,1850,Gaiši peleka,2008,4,RENAULT,KANGOO,Benzine,1,1,142.29,71.14,30.4,5500,0.424657534,2012
4012,LV,Passenger car,Regular,74,1650,Tumši zila,2003,9,OPEL,ASTRA,Benzine,1,0,142.29,71.14,62.4,3580,0.194520548,2012
4013,LV,Passenger car,Regular,74,1740,Gaiši peleka,1999,15,OPEL,ASTRA CARAVAN,Benzine,1,0,140,70,30,520,0.153424658,2014
4014,LV,Passenger car,Regular,74,1740,Gaiši peleka,1999,14,OPEL,ASTRA CARAVAN,Benzine,1,0,142.29,71.14,206.6,570,1,2013
4015,LV,Passenger car,Regular,74,1740,Gaiši peleka,1999,13,OPEL,ASTRA CARAVAN,Benzine,0,0,142.29,71.14,220.9,990,1,2012
4016,LV,Passenger car,Regular,74,1740,Gaiši peleka,2002,10,OPEL,ASTRA CARAVAN,Benzine,0,0,142.29,71.14,220.9,3240,0.463013699,2012
4017,LV,Passenger car,Regular,55,1634,Tumši zila,2013,0,SKODA,FABIA,Diesel,0,0,142.29,71.14,61.7,12810,0.142465753,2013
4018,LV,Passenger car,Regular,55,1659,Balta,2014,0,SKODA,FABIA,Diesel,0,1,140,70,157,12960,0.495890411,2014
4019,LV,Passenger car,Regular,55,1659,Gaiši bruna,2014,0,SKODA,FABIA,Diesel,0,0,140,70,135.4,14000,0.495890411,2014
4020,LV,Passenger car,Regular,55,1679,Gaiši zala,2013,0,SKODA,FABIA,Diesel,0,0,142.29,71.14,134.9,14630,0.495890411,2013
4021,LV,Passenger car,Regular,55,2035,Balta,2011,1,VOLKSWAGEN,CADDY,Diesel,1,0,142.29,71.14,-4.4,10640,0.054794521,2012
4022,LV,Passenger car,Regular,55,2035,Melna,2012,1,VOLKSWAGEN,CADDY,Diesel,1,1,142.29,42.69,185.3,9310,0.756164384,2013
4023,LV,Passenger car,Regular,55,2035,Melna,2012,0,VOLKSWAGEN,CADDY,Diesel,0,1,213.43,71.14,324.8,11580,0.904109589,2012
4024,LV,Passenger car,Regular,55,2035,Peleka,2012,2,VOLKSWAGEN,CADDY,Diesel,1,1,140,70,233,9030,1,2014
4025,LV,Passenger car,Regular,55,2035,Peleka,2012,1,VOLKSWAGEN,CADDY,Diesel,1,1,142.29,42.69,210.5,10130,1,2013
4026,LV,Passenger car,Regular,55,2035,Peleka,2012,0,VOLKSWAGEN,CADDY,Diesel,0,1,213.43,71.14,267.4,12860,0.843835616,2012
4027,LV,Passenger car,Regular,55,2035,Peleka,2012,2,VOLKSWAGEN,CADDY,Diesel,1,1,140,70,249,10040,1.038356164,2014
4028,LV,Passenger car,Regular,55,2035,Peleka,2012,1,VOLKSWAGEN,CADDY,Diesel,1,1,142.29,42.69,242.5,11180,1,2013
4029,LV,Passenger car,Regular,55,2035,Peleka,2012,0,VOLKSWAGEN,CADDY,Diesel,0,1,213.43,71.14,323.6,14030,0.912328767,2012
4030,LV,Passenger car,Regular,55,2035,Balta,2013,1,VOLKSWAGEN,CADDY,Diesel,0,0,140,70,420.1,10000,1,2014
4031,LV,Passenger car,Regular,55,2035,Peleka,2013,0,VOLKSWAGEN,CADDY,Diesel,0,0,142.29,71.14,70.3,19240,0.249315068,2013
4032,LV,Passenger car,Regular,55,2035,Peleka,2013,0,VOLKSWAGEN,CADDY,Diesel,0,1,142.29,71.14,383.6,18100,0.882191781,2013
4033,LV,Passenger car,Regular,55,2035,Gaiši peleka,2014,0,VOLKSWAGEN,CADDY,Diesel,0,0,140,70,222,14000,0.747945205,2014
4034,LV,Passenger car,Regular,55,2035,Tumši zila,2014,0,VOLKSWAGEN,CADDY,Diesel,0,1,140,70,134,13490,0.506849315,2014
4035,LV,Passenger car,Regular,64,1923,Tumši zila,2010,4,RENAULT,KANGOO,Benzine,1,0,140,70,323.6,5100,1,2014
